Journal Abbreviation,Journal Name,Article,Author,Year,Volume
JFE,JOURNAL OF FINANCIAL ECONOMICS,Corporate debt maturity profiles,"Choi, Jaewon; Hackbarth, Dirk; Zechner, Josef",2018,130
OSTD,ORGANIZATION STUDIES,Double or Quits: Understanding the Links between Secrecy and Creativity in a Project Development Process,"Courpasson, David; Younes, Dima",2018,
JFE,JOURNAL OF FINANCIAL ECONOMICS,Corporate governance of banks and financial stability,"Anginer, Deniz; Demirguc-Kunt, Asli; Huizinga, Harry; Ma, Kebin",2018,130
AR,ACCOUNTING REVIEW,The Impact of Seasonal Affective Disorder on Financial Analysts,"Lo, Kin; Wu, Serena Shuo",2018,
ROFS,REVIEW OF FINANCIAL STUDIES,Does Algorithmic Trading Reduce Information Acquisition?,"Weller, Brian M.",2018,
OS,ORGANIZATION SCIENCE,Starstruck: How Hiring High-Status Employees Affects Incumbents' Performance,"Prato, Matteo; Ferraro, Fabrizio",2018,
SMJ,STRATEGIC MANAGEMENT JOURNAL,A property rights theory of competitive advantage,"Bel, Roland",2018,
AMR,ACADEMY OF MANAGEMENT REVIEW,"CAN I TELL YOU SOMETHING? HOW DISRUPTIVE SELF-DISCLOSURE CHANGES WHO ""WE"" ARE","Gibson, Kerry Roberts",2018,43
MS,MANAGEMENT SCIENCE,Oh What a Beautiful Morning ! Diurnal InfIuences on Executives and Analysts: Evidence from Conference Calls,"Chen, Jing; Demers, Elizabeth; Lev, Baruch",2018,64
JFE,JOURNAL OF FINANCIAL ECONOMICS,"Size matters, if you control your junk","Asness, Clifford; Frazzini, Andrea; Israel, Ronen; Moskowitz, Tobias J.; Pedersen, Lasse H.",2018,129
JBE,JOURNAL OF BUSINESS ETHICS,Do ESG Controversies Matter for Firm Value? Evidence from International Data,"Aouadi, Amal; Marsat, Sylvain",2018,151
AMR,ACADEMY OF MANAGEMENT REVIEW,RESPECTFUL INQUIRY: A MOTIVATIONAL ACCOUNT OF LEADING THROUGH ASKING QUESTIONS AND LISTENING,"Van Quaquebeke, Niels; Felps, Will",2018,
OS,ORGANIZATION SCIENCE,"Avoiding High Opportunism Is Easy, Achieving Low Opportunism Is Not: A QCA Study on Curbing Opportunism in Buyer-Supplier Relationships","Mellewigt, Thomas; Hoetker, Glenn; Luetkewitte, Martina",2018,29
ROFS,REVIEW OF FINANCIAL STUDIES,"Innovative Originality, Profitability, and Stock Returns","Hirshleifer, David; Hsu, Po-Hsuan; Li, Dongmei",2018,
JBE,JOURNAL OF BUSINESS ETHICS,A Bi-Directional Examination of the Relationship Between Corporate Social Responsibility Ratings and Company Financial Performance in the European Context,"Quere, Bertrand P.; Nouyrigat, Genevieve; Baker, C. Richard",2018,
OS,ORGANIZATION SCIENCE,The Paradox of Responsive Authoritarianism: How Civic Activism Spurs Environmental Penalties in China,"Marquis, Christopher; Bird, Yanhua",2018,
JBE,JOURNAL OF BUSINESS ETHICS,Duty and Boycotts: A Kantian Analysis,"Robinson, Richard",2018,
JBE,JOURNAL OF BUSINESS ETHICS,Value Added as part of Sustainability Reporting: Reporting on Distributional Fairness or Obfuscation?,"Haller, Axel; van Staden, Chris J.; Landis, Cristina",2018,152
RP,RESEARCH POLICY,Innovation and business survival: A long-term approach,"Ortiz-Villajos, Jose M.; Sotoca, Sonia",2018,47
JPE,JOURNAL OF POLITICAL ECONOMY,Retail Globalization and Household Welfare: Evidence from Mexico,"Atkin, David; Faber, Benjamin; Gonzalez-Navarro, Marco",2018,
MSOM,M&SOM-MANUFACTURING & SERVICE OPERATIONS MANAGEMENT,Joint Dynamic Pricing and Order Fulfillment for E-commerce Retailers,"Lei, Yanzhe (Murray); Jasin, Stefanus; Sinha, Amitabh",2018,
HRM,HUMAN RESOURCE MANAGEMENT,HR flexibility: Precursors and the contingent impact on firm financial performance,"Way, Sean A.; Wright, Patrick M.; Tracey, J. Bruce; Isnard, Jeremy F.",2018,
MS,MANAGEMENT SCIENCE,"Competitive Strategies for Brick-and-Mortar Stores to Counter ""Showrooming""","Mehra, Amit; Kumar, Subodha; Raju, Jagmohan S.",2018,
RFIN,REVIEW OF FINANCE,"Leverage, CEO Risk-Taking Incentives, and Bank Failure during the 2007-10 Financial Crisis","Boyallian, Patricia; Ruiz-Verdu, Pablo",2018,
MS,MANAGEMENT SCIENCE,Contract Design by Service Providers with Private Effort,"Zhang, Hao; Kong, Guangwen; Rajagopalan, Sampath",2018,
JBE,JOURNAL OF BUSINESS ETHICS,Identity Bias in Negative Word of Mouth Following Irresponsible Corporate Behavior: A Research Model and Moderating Effects,"Antonetti, Paolo; Maklan, Stan",2018,
JMAN,JOURNAL OF MANAGEMENT,"Social Influence Opportunity Recognition, Evaluation, and Capitalization: Increased Theoretical Specification Through Political Skill's Dimensional Dynamics","McAllister, Charn P.; Ellen, B. Parker, III; Ferris, Gerald R.",2018,
JAE,JOURNAL OF ACCOUNTING & ECONOMICS,Scope for renegotiation in private debt contracts,"Nikolaev, Valeri V.",2018,
POM,PRODUCTION AND OPERATIONS MANAGEMENT,Coordination of Autonomous Healthcare Entities: Emergency Response to Multiple Casualty Incidents,"Mills, Alex F.; Helm, Jonathan E.; Jola-Sanchez, Andres F.; Tatikonda, Mohan V.; Courtney, Bobby A.",2018,
JAE,JOURNAL OF ACCOUNTING & ECONOMICS,The effect of mandatory CSR disclosure on firm profitability and social externalities: Evidence from China,"Chen, Yi-Chun; Hung, Mingyi; Wang, Yongxiang",2018,
